Tipo: Water, Número de pokemons: 134
Tipo: Fighting, Número de pokemons: 40
Tipo: Rock, Número de pokemons: 58
Tipo: Ground, Número de pokemons: 40
Tipo: Electric, Número de pokemons: 59
Tipo: Ice, Número de pokemons: 31
Tipo: Grass, Número de pokemons: 103
Tipo: Normal, Número de pokemons: 118
Tipo: Steel, Número de pokemons: 36
Tipo: Dragon, Número de pokemons: 37
Tipo: Psychic, Número de pokemons: 60
Tipo: Flying, Número de pokemons: 9
Tipo: Bug, Número de pokemons: 83
Tipo: Ghost, Número de pokemons: 35
Tipo: Dark, Número de pokemons: 45
Tipo: Fire, Número de pokemons: 66
Tipo: Poison, Número de pokemons: 42
Tipo: Fairy, Número de pokemons: 29
